,iteration,message,category,filename,lineno
74,74,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
75,75,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
76,76,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
77,77,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
78,78,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
79,79,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
80,80,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
81,81,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
82,82,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
83,83,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
84,84,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
85,85,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
86,86,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
87,87,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
88,88,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
89,89,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
90,90,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
91,91,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
92,92,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
93,93,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
94,94,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
95,95,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
96,96,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
97,97,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
98,98,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
99,99,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
